model,horizon_years,n_origins,first_origin_year,last_origin_year,mae,rmse,mape_pct,mean_error_bias
arima,1,29,1996,2024,57427.8,76716.5,4.19,-1202.8
drift,1,29,1996,2024,68236.3,98010.0,5.03,-9186.7
ets_damped,1,29,1996,2024,55348.9,75604.1,4.09,-5761.7
holt,1,29,1996,2024,58121.0,77686.1,4.25,-1501.4
linear_trend,1,29,1996,2024,259258.7,303461.6,19.16,932.6
naive,1,29,1996,2024,64900.1,94773.0,4.71,-9598.2
ses,1,29,1996,2024,65414.8,95417.1,4.75,-9682.7
arima,2,28,1996,2023,123560.1,173770.4,9.1,-6647.9
drift,2,28,1996,2023,133089.2,187092.9,9.82,-20201.6
ets_damped,2,28,1996,2023,114133.7,164163.4,8.51,-16628.1
holt,2,28,1996,2023,125116.8,175623.8,9.25,-7318.8
linear_trend,2,28,1996,2023,309472.3,357323.5,22.71,-10452.4
naive,2,28,1996,2023,125173.8,176066.9,9.03,-20974.5
ses,2,28,1996,2023,125606.6,176608.6,9.06,-21046.4
arima,3,27,1996,2022,193397.4,279850.5,14.5,-17481.4
drift,3,27,1996,2022,197251.2,269958.4,14.71,-30450.1
ets_damped,3,27,1996,2022,178401.8,255908.9,13.59,-31766.3
holt,3,27,1996,2022,195869.7,281498.6,14.74,-18374.0
linear_trend,3,27,1996,2022,362839.3,412747.8,26.41,-23251.0
naive,3,27,1996,2022,183588.0,247374.3,13.32,-31657.9
ses,3,27,1996,2022,184107.6,247833.0,13.36,-31705.4
arima,5,25,1996,2020,411850.8,505963.0,30.97,-37179.7
drift,5,25,1996,2020,352354.9,427036.2,25.89,-43989.2
ets_damped,5,25,1996,2020,348685.6,435026.8,26.16,-58926.0
holt,5,25,1996,2020,416667.5,509188.2,31.36,-38568.9
linear_trend,5,25,1996,2020,477814.8,524069.3,34.16,-53558.1
naive,5,25,1996,2020,306435.0,371022.5,22.1,-47199.5
ses,5,25,1996,2020,306809.1,371381.6,22.12,-47219.7
