model,target_year,forecast
naive,2026,1340527
naive,2027,1340527
naive,2028,1340527
naive,2029,1340527
naive,2030,1340527
drift,2026,1341870.0
drift,2027,1343213.1
drift,2028,1344556.1
drift,2029,1345899.1
drift,2030,1347242.1
linear_trend,2026,1408379.8
linear_trend,2027,1412903.5
linear_trend,2028,1417427.2
linear_trend,2029,1421950.9
linear_trend,2030,1426474.6
ses,2026,1340423.4
ses,2027,1340423.4
ses,2028,1340423.4
ses,2029,1340423.4
ses,2030,1340423.4
holt,2026,1351190.0
holt,2027,1361510.4
holt,2028,1371830.8
holt,2029,1382151.2
holt,2030,1392471.6
ets_damped,2026,1348467.0
ets_damped,2027,1354819.0
ets_damped,2028,1359900.6
ets_damped,2029,1363965.9
ets_damped,2030,1367218.1
arima,2026,1350452.0
arima,2027,1360377.0
arima,2028,1370302.0
arima,2029,1380227.0
arima,2030,1390152.0
