Regional Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This table contains notes, which can be found in the Notes worksheet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area code,Country,Notes,Region,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
E12000004,England,,East Midlands,"110,436","118,188","128,606","127,138","129,251","128,809","122,483","120,088","115,661","113,190","102,868","101,291","100,588","99,863","100,611","102,050","110,907","128,463","137,095","133,823","134,421","136,545","120,896","123,780","116,439","120,956","106,477","86,063","79,001","84,243","72,039","65,925","75,571","81,579","81,591","80,075","84,027","87,001","84,013"
E12000006,England,,East of England,"115,779","116,864","123,063","114,998","106,944","104,297","98,784","95,709","91,012","90,188","86,424","88,491","91,948","98,068","94,846","99,492","110,968","134,305","129,184","135,444","146,252","147,845","153,475","155,900","160,267","163,930","147,013","111,552","100,727","103,497","107,620","103,068","107,449","94,384","99,604","91,313","89,461","94,406","91,871"
E12000007,England,,London,"264,343","261,842","244,022","239,037","239,482","231,975","206,011","185,604","172,509","178,656","181,080","177,118","194,872","196,995","211,469","226,789","242,389","279,729","309,072","331,230","333,857","352,953","354,389","362,289","366,613","380,301","344,294","255,729","263,493","227,549","243,668","242,141","243,551","250,922","296,322","307,365","323,637","336,357","341,009"
E12000001,England,,North East,"97,100","81,959","79,586","86,899","93,581","103,862","90,876","88,011","86,966","82,223","73,809","68,655","66,028","62,116","57,016","62,261","85,421","105,953","89,747","95,359","90,569","95,400","82,524","79,586","91,914","86,919","58,920","61,203","61,898","57,678","50,836","51,503","55,143","52,590","53,084","50,453","75,985","68,183","63,211"
E12000002,England,,North West,"195,620","192,048","171,655","170,647","182,013","190,597","176,843","161,494","151,917","144,554","124,642","124,203","118,829","116,937","112,405","121,213","159,037","177,836","200,600","217,397","212,597","234,559","237,847","253,521","233,902","238,822","208,201","199,102","185,327","189,501","180,780","194,072","203,323","187,586","172,641","188,429","203,656","207,173","209,887"
E12000008,England,,South East,"127,080","132,451","133,354","123,241","116,336","113,053","109,617","102,787","100,968","107,107","102,578","104,913","111,425","115,901","129,924","129,234","146,880","168,725","177,432","192,634","205,007","203,851","206,287","216,297","226,181","234,736","236,605","194,349","178,050","154,904","151,342","127,921","114,573","111,789","111,701","116,164","118,337","118,420","117,590"
E12000009,England,,South West,"87,053","89,110","90,137","87,002","84,953","86,671","87,204","86,757","86,932","84,886","84,411","87,199","84,983","88,444","89,633","94,918","110,445","123,845","131,193","151,220","157,183","161,353","158,399","148,422","186,305","195,182","194,374","171,358","121,777","127,437","107,783","105,199","108,362","108,239","112,584","122,974","130,604","130,120","133,231"
E12000005,England,[note 5],West Midlands,"132,023","131,201","136,888","143,677","144,157","142,780","129,055","107,796","103,094","96,661","92,103","92,751","95,857","96,037","92,975","95,020","107,536","120,431","137,992","126,629","121,053","150,011","161,138","160,949","183,945","188,364","155,910","135,649","121,523","93,792","99,285","94,038","101,665","97,394","105,636","104,545","112,398","116,565","127,179"
E12000003,England,,Yorkshire and The Humber,"160,058","149,790","144,379","174,582","196,025","202,715","193,363","184,091","178,076","164,714","173,749","175,608","172,221","164,359","150,386","162,365","195,742","197,646","227,430","247,499","270,070","288,112","289,101","258,695","272,407","242,674","236,105","155,405","144,779","146,149","144,681","142,306","150,624","152,751","152,808","153,406","149,602","172,377","172,536"
E92000001,England,,England,"1,289,492","1,273,453","1,251,690","1,267,221","1,292,742","1,304,759","1,214,236","1,132,337","1,087,135","1,062,179","1,021,664","1,020,229","1,036,751","1,038,720","1,039,265","1,093,342","1,269,325","1,436,933","1,539,745","1,631,235","1,671,009","1,770,629","1,764,056","1,759,439","1,837,973","1,851,884","1,687,899","1,370,410","1,256,575","1,184,750","1,158,034","1,126,173","1,160,261","1,137,234","1,185,971","1,214,724","1,287,707","1,330,602","1,340,527"
