Area code,Country,Notes,Region,year,households_on_register
E12000004,England,,East Midlands,1987,110436
E12000004,England,,East Midlands,1988,118188
E12000004,England,,East Midlands,1989,128606
E12000004,England,,East Midlands,1990,127138
E12000004,England,,East Midlands,1991,129251
E12000004,England,,East Midlands,1992,128809
E12000004,England,,East Midlands,1993,122483
E12000004,England,,East Midlands,1994,120088
E12000004,England,,East Midlands,1995,115661
E12000004,England,,East Midlands,1996,113190
E12000004,England,,East Midlands,1997,102868
E12000004,England,,East Midlands,1998,101291
E12000004,England,,East Midlands,1999,100588
E12000004,England,,East Midlands,2000,99863
E12000004,England,,East Midlands,2001,100611
E12000004,England,,East Midlands,2002,102050
E12000004,England,,East Midlands,2003,110907
E12000004,England,,East Midlands,2004,128463
E12000004,England,,East Midlands,2005,137095
E12000004,England,,East Midlands,2006,133823
E12000004,England,,East Midlands,2007,134421
E12000004,England,,East Midlands,2008,136545
E12000004,England,,East Midlands,2009,120896
E12000004,England,,East Midlands,2010,123780
E12000004,England,,East Midlands,2011,116439
E12000004,England,,East Midlands,2012,120956
E12000004,England,,East Midlands,2013,106477
E12000004,England,,East Midlands,2014,86063
E12000004,England,,East Midlands,2015,79001
E12000004,England,,East Midlands,2016,84243
E12000004,England,,East Midlands,2017,72039
E12000004,England,,East Midlands,2018,65925
E12000004,England,,East Midlands,2019,75571
E12000004,England,,East Midlands,2020,81579
E12000004,England,,East Midlands,2021,81591
E12000004,England,,East Midlands,2022,80075
E12000004,England,,East Midlands,2023,84027
E12000004,England,,East Midlands,2024,87001
E12000004,England,,East Midlands,2025,84013
E12000006,England,,East of England,1987,115779
E12000006,England,,East of England,1988,116864
E12000006,England,,East of England,1989,123063
E12000006,England,,East of England,1990,114998
E12000006,England,,East of England,1991,106944
E12000006,England,,East of England,1992,104297
E12000006,England,,East of England,1993,98784
E12000006,England,,East of England,1994,95709
E12000006,England,,East of England,1995,91012
E12000006,England,,East of England,1996,90188
E12000006,England,,East of England,1997,86424
E12000006,England,,East of England,1998,88491
E12000006,England,,East of England,1999,91948
E12000006,England,,East of England,2000,98068
E12000006,England,,East of England,2001,94846
E12000006,England,,East of England,2002,99492
E12000006,England,,East of England,2003,110968
E12000006,England,,East of England,2004,134305
E12000006,England,,East of England,2005,129184
E12000006,England,,East of England,2006,135444
E12000006,England,,East of England,2007,146252
E12000006,England,,East of England,2008,147845
E12000006,England,,East of England,2009,153475
E12000006,England,,East of England,2010,155900
E12000006,England,,East of England,2011,160267
E12000006,England,,East of England,2012,163930
E12000006,England,,East of England,2013,147013
E12000006,England,,East of England,2014,111552
E12000006,England,,East of England,2015,100727
E12000006,England,,East of England,2016,103497
E12000006,England,,East of England,2017,107620
E12000006,England,,East of England,2018,103068
E12000006,England,,East of England,2019,107449
E12000006,England,,East of England,2020,94384
E12000006,England,,East of England,2021,99604
E12000006,England,,East of England,2022,91313
E12000006,England,,East of England,2023,89461
E12000006,England,,East of England,2024,94406
E12000006,England,,East of England,2025,91871
E12000007,England,,London,1987,264343
E12000007,England,,London,1988,261842
E12000007,England,,London,1989,244022
E12000007,England,,London,1990,239037
E12000007,England,,London,1991,239482
E12000007,England,,London,1992,231975
E12000007,England,,London,1993,206011
E12000007,England,,London,1994,185604
E12000007,England,,London,1995,172509
E12000007,England,,London,1996,178656
E12000007,England,,London,1997,181080
E12000007,England,,London,1998,177118
E12000007,England,,London,1999,194872
E12000007,England,,London,2000,196995
E12000007,England,,London,2001,211469
E12000007,England,,London,2002,226789
E12000007,England,,London,2003,242389
E12000007,England,,London,2004,279729
E12000007,England,,London,2005,309072
E12000007,England,,London,2006,331230
E12000007,England,,London,2007,333857
E12000007,England,,London,2008,352953
E12000007,England,,London,2009,354389
E12000007,England,,London,2010,362289
E12000007,England,,London,2011,366613
E12000007,England,,London,2012,380301
E12000007,England,,London,2013,344294
E12000007,England,,London,2014,255729
E12000007,England,,London,2015,263493
E12000007,England,,London,2016,227549
E12000007,England,,London,2017,243668
E12000007,England,,London,2018,242141
E12000007,England,,London,2019,243551
E12000007,England,,London,2020,250922
E12000007,England,,London,2021,296322
E12000007,England,,London,2022,307365
E12000007,England,,London,2023,323637
E12000007,England,,London,2024,336357
E12000007,England,,London,2025,341009
E12000001,England,,North East,1987,97100
E12000001,England,,North East,1988,81959
E12000001,England,,North East,1989,79586
E12000001,England,,North East,1990,86899
E12000001,England,,North East,1991,93581
E12000001,England,,North East,1992,103862
E12000001,England,,North East,1993,90876
E12000001,England,,North East,1994,88011
E12000001,England,,North East,1995,86966
E12000001,England,,North East,1996,82223
E12000001,England,,North East,1997,73809
E12000001,England,,North East,1998,68655
E12000001,England,,North East,1999,66028
E12000001,England,,North East,2000,62116
E12000001,England,,North East,2001,57016
E12000001,England,,North East,2002,62261
E12000001,England,,North East,2003,85421
E12000001,England,,North East,2004,105953
E12000001,England,,North East,2005,89747
E12000001,England,,North East,2006,95359
E12000001,England,,North East,2007,90569
E12000001,England,,North East,2008,95400
E12000001,England,,North East,2009,82524
E12000001,England,,North East,2010,79586
E12000001,England,,North East,2011,91914
E12000001,England,,North East,2012,86919
E12000001,England,,North East,2013,58920
E12000001,England,,North East,2014,61203
E12000001,England,,North East,2015,61898
E12000001,England,,North East,2016,57678
E12000001,England,,North East,2017,50836
E12000001,England,,North East,2018,51503
E12000001,England,,North East,2019,55143
E12000001,England,,North East,2020,52590
E12000001,England,,North East,2021,53084
E12000001,England,,North East,2022,50453
E12000001,England,,North East,2023,75985
E12000001,England,,North East,2024,68183
E12000001,England,,North East,2025,63211
E12000002,England,,North West,1987,195620
E12000002,England,,North West,1988,192048
E12000002,England,,North West,1989,171655
E12000002,England,,North West,1990,170647
E12000002,England,,North West,1991,182013
E12000002,England,,North West,1992,190597
E12000002,England,,North West,1993,176843
E12000002,England,,North West,1994,161494
E12000002,England,,North West,1995,151917
E12000002,England,,North West,1996,144554
E12000002,England,,North West,1997,124642
E12000002,England,,North West,1998,124203
E12000002,England,,North West,1999,118829
E12000002,England,,North West,2000,116937
E12000002,England,,North West,2001,112405
E12000002,England,,North West,2002,121213
E12000002,England,,North West,2003,159037
E12000002,England,,North West,2004,177836
E12000002,England,,North West,2005,200600
E12000002,England,,North West,2006,217397
E12000002,England,,North West,2007,212597
E12000002,England,,North West,2008,234559
E12000002,England,,North West,2009,237847
E12000002,England,,North West,2010,253521
E12000002,England,,North West,2011,233902
E12000002,England,,North West,2012,238822
E12000002,England,,North West,2013,208201
E12000002,England,,North West,2014,199102
E12000002,England,,North West,2015,185327
E12000002,England,,North West,2016,189501
E12000002,England,,North West,2017,180780
E12000002,England,,North West,2018,194072
E12000002,England,,North West,2019,203323
E12000002,England,,North West,2020,187586
E12000002,England,,North West,2021,172641
E12000002,England,,North West,2022,188429
E12000002,England,,North West,2023,203656
E12000002,England,,North West,2024,207173
E12000002,England,,North West,2025,209887
E12000008,England,,South East,1987,127080
E12000008,England,,South East,1988,132451
E12000008,England,,South East,1989,133354
E12000008,England,,South East,1990,123241
E12000008,England,,South East,1991,116336
E12000008,England,,South East,1992,113053
E12000008,England,,South East,1993,109617
E12000008,England,,South East,1994,102787
E12000008,England,,South East,1995,100968
E12000008,England,,South East,1996,107107
E12000008,England,,South East,1997,102578
E12000008,England,,South East,1998,104913
E12000008,England,,South East,1999,111425
E12000008,England,,South East,2000,115901
E12000008,England,,South East,2001,129924
E12000008,England,,South East,2002,129234
E12000008,England,,South East,2003,146880
E12000008,England,,South East,2004,168725
E12000008,England,,South East,2005,177432
E12000008,England,,South East,2006,192634
E12000008,England,,South East,2007,205007
E12000008,England,,South East,2008,203851
E12000008,England,,South East,2009,206287
E12000008,England,,South East,2010,216297
E12000008,England,,South East,2011,226181
E12000008,England,,South East,2012,234736
E12000008,England,,South East,2013,236605
E12000008,England,,South East,2014,194349
E12000008,England,,South East,2015,178050
E12000008,England,,South East,2016,154904
E12000008,England,,South East,2017,151342
E12000008,England,,South East,2018,127921
E12000008,England,,South East,2019,114573
E12000008,England,,South East,2020,111789
E12000008,England,,South East,2021,111701
E12000008,England,,South East,2022,116164
E12000008,England,,South East,2023,118337
E12000008,England,,South East,2024,118420
E12000008,England,,South East,2025,117590
E12000009,England,,South West,1987,87053
E12000009,England,,South West,1988,89110
E12000009,England,,South West,1989,90137
E12000009,England,,South West,1990,87002
E12000009,England,,South West,1991,84953
E12000009,England,,South West,1992,86671
E12000009,England,,South West,1993,87204
E12000009,England,,South West,1994,86757
E12000009,England,,South West,1995,86932
E12000009,England,,South West,1996,84886
E12000009,England,,South West,1997,84411
E12000009,England,,South West,1998,87199
E12000009,England,,South West,1999,84983
E12000009,England,,South West,2000,88444
E12000009,England,,South West,2001,89633
E12000009,England,,South West,2002,94918
E12000009,England,,South West,2003,110445
E12000009,England,,South West,2004,123845
E12000009,England,,South West,2005,131193
E12000009,England,,South West,2006,151220
E12000009,England,,South West,2007,157183
E12000009,England,,South West,2008,161353
