history_start_year,model,model_label,horizon_years,forecast_origins,mae_households,rmse_households,mape_pct,bias_households
1998,naive,Naive,1,18,66076.333333,98895.424919,4.749829,18360.111111
1998,naive,Naive,2,17,121363.000000,178909.225750,8.995118,45324.058824
1998,naive,Naive,3,16,175274.875000,247540.773288,13.559833,77928.625000
1998,naive,Naive,5,14,285105.928571,361456.484276,23.016457,174541.071429
1998,drift,Drift,1,18,75079.682308,114055.013975,5.346303,48960.191593
1998,drift,Drift,2,17,143791.461408,222077.547605,10.588650,108719.826540
1998,drift,Drift,3,16,231632.820369,327186.573772,17.611380,176959.544799
1998,drift,Drift,5,14,424728.423121,546231.993565,33.946366,357703.490481
1998,linear_trend,Linear trend,1,18,294569.902072,371911.092093,23.241474,291248.835405
1998,linear_trend,Linear trend,2,17,374563.601624,461920.705553,29.687034,374563.601624
1998,linear_trend,Linear trend,3,16,467443.548820,559464.850504,37.325347,467443.548820
1998,linear_trend,Linear trend,5,14,692607.717388,777776.414388,56.413786,692607.717388
1998,ses,Simple exponential smoothing,1,18,66076.334000,98895.425798,4.749829,18360.111360
1998,ses,Simple exponential smoothing,2,17,121363.000532,178909.226431,8.995118,45324.059125
1998,ses,Simple exponential smoothing,3,16,175274.875741,247540.773812,13.559833,77928.625388
1998,ses,Simple exponential smoothing,5,14,285105.928928,361456.484599,23.016457,174541.071954
1998,holt,Holt linear trend,1,18,70952.096845,95288.874095,5.054860,13748.120319
1998,holt,Holt linear trend,2,17,145758.015914,218174.817724,10.819809,30447.426708
1998,holt,Holt linear trend,3,16,242535.555511,352047.588996,18.567921,40534.680336
1998,holt,Holt linear trend,5,14,543526.937129,664906.345758,43.711385,75639.510549
1998,damped_trend,Damped Holt trend,1,18,63907.471076,87452.239432,4.530854,13650.299309
1998,damped_trend,Damped Holt trend,2,17,126707.795564,190852.657727,9.358072,34558.434103
1998,damped_trend,Damped Holt trend,3,16,211424.225362,300783.670640,16.096711,56400.615918
1998,damped_trend,Damped Holt trend,5,14,431104.671011,539217.498859,34.383669,135843.568964
1998,arima,ARIMA,1,18,70798.712186,107236.731287,5.015914,33947.887242
1998,arima,ARIMA,2,17,130654.627935,206363.309504,9.675805,76501.737931
1998,arima,ARIMA,3,16,211308.494988,306498.574908,16.107343,126198.372945
1998,arima,ARIMA,5,14,375105.355043,505764.425425,30.300418,264540.497900
2005,naive,Naive,1,11,45876.818182,53940.518939,3.757166,2716.636364
2005,naive,Naive,2,10,72970.000000,89984.507355,5.964269,-4414.400000
2005,naive,Naive,3,9,102581.666667,119754.035874,8.369270,-16344.555556
2005,naive,Naive,5,7,131795.571429,150265.221102,10.555331,-37655.571429
2005,drift,Drift,1,11,46407.519540,57023.567941,3.755128,-21211.201358
2005,drift,Drift,2,10,92841.537725,104305.515945,7.536856,-54854.137725
2005,drift,Drift,3,9,140494.970283,153158.870309,11.335486,-95743.414728
2005,drift,Drift,5,7,211510.157259,238197.442763,16.641047,-178346.157259
2005,linear_trend,Linear trend,1,11,201786.139831,235844.387917,16.332218,21404.744206
2005,linear_trend,Linear trend,2,10,234428.882787,272695.246639,19.169164,5464.767750
2005,linear_trend,Linear trend,3,9,263749.330796,301388.646717,21.603753,-11749.458446
2005,linear_trend,Linear trend,5,7,296860.347977,335060.802833,23.968430,-34395.943915
2005,ses,Simple exponential smoothing,1,11,45876.819041,53940.520223,3.757166,2716.636848
2005,ses,Simple exponential smoothing,2,10,72970.000903,89984.508766,5.964269,-4414.399404
2005,ses,Simple exponential smoothing,3,9,102581.667638,119754.037142,8.369270,-16344.554772
2005,ses,Simple exponential smoothing,5,7,131795.572093,150265.222160,10.555331,-37655.570256
2005,holt,Holt linear trend,1,11,59437.350600,78477.501675,4.862831,-47712.756911
2005,holt,Holt linear trend,2,10,140574.619741,180470.619015,11.710921,-124443.616709
2005,holt,Holt linear trend,3,9,238639.085756,309295.583820,20.033833,-238639.085756
2005,holt,Holt linear trend,5,7,512949.216595,636104.672272,42.675277,-512949.216595
2005,damped_trend,Damped Holt trend,1,11,45844.301670,71075.642961,3.733307,-34869.268459
2005,damped_trend,Damped Holt trend,2,10,102592.472826,155967.777287,8.549108,-92326.993697
2005,damped_trend,Damped Holt trend,3,9,176061.745371,269738.460328,14.758628,-176061.745371
2005,damped_trend,Damped Holt trend,5,7,394950.113039,560384.768243,32.602983,-394950.113039
2005,arima,ARIMA,1,11,44969.652249,53452.279042,3.689161,3623.802297
2005,arima,ARIMA,2,10,72312.584894,89621.895642,5.915228,-3756.984894
2005,arima,ARIMA,3,9,102581.666667,119754.035874,8.369270,-16344.555556
2005,arima,ARIMA,5,7,131795.571429,150265.221102,10.555331,-37655.571429
