geography,area_code,model,model_label,horizon_years,forecast_origins,mae_households,rmse_households,mape_pct,bias_households
England,E92000001,naive,Naive,1,29,64900.137931,94772.985490,4.709638,-9598.206897
England,E92000001,naive,Naive,2,28,125173.785714,176066.896341,9.026427,-20974.500000
England,E92000001,naive,Naive,3,27,183588.000000,247374.267051,13.320639,-31657.925926
England,E92000001,naive,Naive,5,25,306434.960000,371022.544006,22.098199,-47199.520000
England,E92000001,drift,Drift,1,29,68236.327982,98009.989795,5.025478,-9186.746022
England,E92000001,drift,Drift,2,28,133089.158207,187092.941221,9.816901,-20201.551123
England,E92000001,drift,Drift,3,27,197251.191269,269958.365464,14.712316,-30450.051747
England,E92000001,drift,Drift,5,25,352354.918449,427036.184160,25.892322,-43989.153706
England,E92000001,linear_trend,Linear trend,1,29,259258.667226,303461.611317,19.158468,932.601373
England,E92000001,linear_trend,Linear trend,2,28,309472.255250,357323.545545,22.714564,-10452.380208
England,E92000001,linear_trend,Linear trend,3,27,362839.257900,412747.804150,26.411079,-23251.020374
England,E92000001,linear_trend,Linear trend,5,25,477814.767416,524069.289436,34.162822,-53558.132826
England,E92000001,ses,Simple exponential smoothing,1,29,64900.138692,94772.986441,4.709638,-9598.207022
England,E92000001,ses,Simple exponential smoothing,2,28,125173.786353,176066.897141,9.026427,-20974.500107
England,E92000001,ses,Simple exponential smoothing,3,27,183588.000767,247374.267728,13.320639,-31657.925996
England,E92000001,ses,Simple exponential smoothing,5,25,306434.960554,371022.544537,22.098199,-47199.520030
England,E92000001,holt,Holt linear trend,1,29,59577.582091,78299.392542,4.390958,-4363.343410
England,E92000001,holt,Holt linear trend,2,28,128794.577983,178135.616158,9.580469,-13204.977440
England,E92000001,holt,Holt linear trend,3,27,204938.218426,287750.889440,15.497927,-27681.223910
England,E92000001,holt,Holt linear trend,5,25,433940.257148,525674.438570,32.528101,-55539.456019
England,E92000001,damped_trend,Damped Holt trend,1,29,55348.924092,75604.087227,4.086676,-5761.713969
England,E92000001,damped_trend,Damped Holt trend,2,28,114133.697329,164163.432883,8.508623,-16628.059951
England,E92000001,damped_trend,Damped Holt trend,3,27,178401.752001,255908.913392,13.590213,-31766.339810
England,E92000001,damped_trend,Damped Holt trend,5,25,348685.630679,435026.826066,26.159027,-58925.962697
England,E92000001,arima,ARIMA,1,29,64900.137931,94772.985490,4.709638,-9598.206897
England,E92000001,arima,ARIMA,2,28,125173.785714,176066.896341,9.026427,-20974.500000
England,E92000001,arima,ARIMA,3,27,183588.000000,247374.267051,13.320639,-31657.925926
England,E92000001,arima,ARIMA,5,25,306434.960000,371022.544006,22.098199,-47199.520000
