region,area_code,forecast_year,horizon_years,selected_model,selected_model_label,point_forecast,lower_80,upper_80,lower_95,upper_95
East Midlands,E12000004,2026,1,arima,ARIMA,83694.778641,70499.138234,90994.474491,66462.412902,95921.356036
East Midlands,E12000004,2027,2,arima,ARIMA,83660.888135,68460.668265,95809.947269,53631.922603,108993.182942
East Midlands,E12000004,2028,3,arima,ARIMA,83657.278803,62553.132944,102061.485434,49557.624351,113979.829726
East of England,E12000006,2026,1,naive,Naive,91871.000000,80598.000000,99040.600000,69390.800000,106905.300000
East of England,E12000006,2027,2,naive,Naive,91871.000000,80794.700000,108276.800000,43605.100000,115481.025000
East of England,E12000006,2028,3,naive,Naive,91871.000000,64783.000000,112858.000000,38085.200000,124981.450000
London,E12000007,2026,1,naive,Naive,341009.000000,330650.600000,364604.000000,289234.600000,380767.000000
London,E12000007,2027,2,naive,Naive,341009.000000,316931.700000,393830.700000,245982.425000,400780.000000
London,E12000007,2028,3,naive,Naive,341009.000000,283844.200000,411051.000000,224241.950000,425587.300000
North East,E12000001,2026,1,naive,Naive,63211.000000,53904.600000,77179.800000,43467.100000,87082.600000
North East,E12000001,2027,2,naive,Naive,63211.000000,48969.200000,82492.300000,35129.650000,96584.275000
North East,E12000001,2028,3,naive,Naive,63211.000000,45227.600000,86552.000000,36198.500000,98204.850000
North West,E12000002,2026,1,naive,Naive,209887.000000,193373.600000,229318.600000,186762.300000,237169.000000
North West,E12000002,2027,2,naive,Naive,209887.000000,186164.900000,250048.600000,176267.650000,259766.075000
North West,E12000002,2028,3,naive,Naive,209887.000000,180532.000000,258491.000000,161705.750000,280202.600000
South East,E12000008,2026,1,damped_trend,Damped Holt trend,117463.515455,106668.533760,130446.834620,91990.180355,132048.906244
South East,E12000008,2027,2,damped_trend,Damped Holt trend,117310.409323,92547.196259,135146.944415,58911.104707,141793.509642
South East,E12000008,2028,3,damped_trend,Damped Holt trend,117187.924418,78407.783369,147340.449189,34418.294505,153299.518774
South West,E12000009,2026,1,drift,Drift,134446.210526,119660.900181,146997.143860,99634.576766,157312.989753
South West,E12000009,2027,2,drift,Drift,135661.421053,108402.952639,157569.379876,75522.446053,167941.954748
South West,E12000009,2028,3,drift,Drift,136876.631579,91287.642690,170952.917293,55085.338579,173811.053318
West Midlands,E12000005,2026,1,naive,Naive,127179.000000,111826.000000,141007.200000,98031.100000,151963.600000
West Midlands,E12000005,2027,2,naive,Naive,127179.000000,97238.400000,153191.200000,81793.150000,160764.425000
West Midlands,E12000005,2028,3,naive,Naive,127179.000000,86042.200000,161343.000000,63407.950000,168151.600000
Yorkshire and The Humber,E12000003,2026,1,naive,Naive,172536.000000,155411.000000,195147.800000,127041.800000,203397.900000
Yorkshire and The Humber,E12000003,2027,2,naive,Naive,172536.000000,141053.500000,213757.100000,83948.475000,219353.525000
Yorkshire and The Humber,E12000003,2028,3,naive,Naive,172536.000000,108697.400000,227863.000000,67953.550000,240176.650000
