region,area_code,model,model_label,horizon_years,forecast_origins,mae_households,rmse_households,mape_pct,bias_households
East Midlands,E12000004,naive,Naive,1,29,6191.551724,8245.796490,6.389180,1006.103448
East Midlands,E12000004,naive,Naive,2,28,9305.642857,13186.879312,9.660425,1608.714286
East Midlands,E12000004,naive,Naive,3,27,13110.888889,17071.579399,13.539776,2307.703704
East Midlands,E12000004,naive,Naive,5,25,20725.640000,25131.638120,21.700837,4043.720000
East Midlands,E12000004,drift,Drift,1,29,6280.124982,8405.231140,6.469362,763.017732
East Midlands,E12000004,drift,Drift,2,28,9856.148574,13741.304385,10.181920,1150.420901
East Midlands,E12000004,drift,Drift,3,27,14431.772538,18190.357239,14.748238,1676.312143
East Midlands,E12000004,drift,Drift,5,25,24118.368229,27894.819999,24.989080,3250.383089
East Midlands,E12000004,linear_trend,Linear trend,1,29,14585.423071,18895.251805,15.577969,4489.915618
East Midlands,E12000004,linear_trend,Linear trend,2,28,17095.537244,21936.662357,18.198611,4582.684483
East Midlands,E12000004,linear_trend,Linear trend,3,27,19782.903774,24912.866031,20.985469,4678.500055
East Midlands,E12000004,linear_trend,Linear trend,5,25,25476.221792,30458.209213,27.076260,4895.838602
East Midlands,E12000004,ses,Simple exponential smoothing,1,29,6191.551746,8245.796524,6.389180,1006.103463
East Midlands,E12000004,ses,Simple exponential smoothing,2,28,9305.642889,13186.879338,9.660425,1608.714303
East Midlands,E12000004,ses,Simple exponential smoothing,3,27,13110.888917,17071.579428,13.539776,2307.703723
East Midlands,E12000004,ses,Simple exponential smoothing,5,25,20725.640018,25131.638147,21.700837,4043.720020
East Midlands,E12000004,holt,Holt linear trend,1,29,7147.348358,9373.415389,7.340504,615.647995
East Midlands,E12000004,holt,Holt linear trend,2,28,12667.636837,16399.849974,12.745548,888.353779
East Midlands,E12000004,holt,Holt linear trend,3,27,18676.245864,22611.891401,18.485120,1234.559707
East Midlands,E12000004,holt,Holt linear trend,5,25,33561.653488,39492.433559,33.834847,2639.362625
East Midlands,E12000004,damped_trend,Damped Holt trend,1,29,6654.129828,8343.318030,6.838508,350.651402
East Midlands,E12000004,damped_trend,Damped Holt trend,2,28,10314.783606,13340.934187,10.521587,326.158465
East Midlands,E12000004,damped_trend,Damped Holt trend,3,27,15235.762917,18023.602615,15.035311,452.834802
East Midlands,E12000004,damped_trend,Damped Holt trend,5,25,24548.530873,28576.484377,24.672053,1250.222775
East Midlands,E12000004,arima,ARIMA,1,29,6111.256908,8173.486769,6.280333,907.450579
East Midlands,E12000004,arima,ARIMA,2,28,9128.584782,13116.717568,9.524622,1456.041731
East Midlands,E12000004,arima,ARIMA,3,27,12923.236279,16923.749355,13.323115,2113.048489
East Midlands,E12000004,arima,ARIMA,5,25,20754.881320,25082.299744,21.698406,3824.782083
East of England,E12000006,naive,Naive,1,29,7341.137931,10267.761911,6.447830,-58.034483
East of England,E12000006,naive,Naive,2,28,11203.250000,16957.995100,9.678518,-345.178571
East of England,E12000006,naive,Naive,3,27,16039.074074,22351.523914,13.847650,-393.888889
East of England,E12000006,naive,Naive,5,25,25642.400000,31299.437985,21.740626,-461.440000
East of England,E12000006,drift,Drift,1,29,7357.088087,10601.376071,6.542378,-241.568356
East of England,E12000006,drift,Drift,2,28,11885.282423,18043.390917,10.516668,-684.095262
East of England,E12000006,drift,Drift,3,27,17485.598322,24444.658493,15.452215,-839.864235
East of England,E12000006,drift,Drift,5,25,29171.505626,36143.017219,25.039802,-1029.242850
East of England,E12000006,linear_trend,Linear trend,1,29,25934.738901,28346.855402,23.091392,810.389457
East of England,E12000006,linear_trend,Linear trend,2,28,31144.917495,33209.497056,27.584824,-236.673806
East of England,E12000006,linear_trend,Linear trend,3,27,36462.696997,38193.355213,32.045560,-1387.773393
East of England,E12000006,linear_trend,Linear trend,5,25,46717.838952,48362.492182,40.174705,-3946.366742
East of England,E12000006,ses,Simple exponential smoothing,1,29,7341.137943,10267.761960,6.447830,-58.034485
East of England,E12000006,ses,Simple exponential smoothing,2,28,11203.250048,16957.995138,9.678519,-345.178571
East of England,E12000006,ses,Simple exponential smoothing,3,27,16039.074125,22351.523943,13.847650,-393.888889
East of England,E12000006,ses,Simple exponential smoothing,5,25,25642.400064,31299.438015,21.740626,-461.440002
East of England,E12000006,holt,Holt linear trend,1,29,9263.664759,12828.467512,8.304489,-520.637865
East of England,E12000006,holt,Holt linear trend,2,28,16322.317052,23112.957494,14.708488,-1452.390174
East of England,E12000006,holt,Holt linear trend,3,27,24750.209424,33210.455730,22.138953,-1876.137681
East of England,E12000006,holt,Holt linear trend,5,25,43290.781722,53945.694237,38.015220,-2108.812323
East of England,E12000006,damped_trend,Damped Holt trend,1,29,8958.816181,12079.083045,8.108775,-585.584850
East of England,E12000006,damped_trend,Damped Holt trend,2,28,14563.124903,20479.409057,13.155660,-1157.399213
East of England,E12000006,damped_trend,Damped Holt trend,3,27,20662.275408,27657.823968,18.637487,-1306.647170
East of England,E12000006,damped_trend,Damped Holt trend,5,25,34039.536846,40425.850440,29.883733,-1430.739041
East of England,E12000006,arima,ARIMA,1,29,7341.137931,10267.761911,6.447830,-58.034483
East of England,E12000006,arima,ARIMA,2,28,11203.250000,16957.995100,9.678518,-345.178571
East of England,E12000006,arima,ARIMA,3,27,16039.074074,22351.523914,13.847650,-393.888889
East of England,E12000006,arima,ARIMA,5,25,25642.400000,31299.437985,21.740626,-461.440000
London,E12000007,naive,Naive,1,29,17047.000000,24816.227998,6.226779,-5598.379310
London,E12000007,naive,Naive,2,28,31154.785714,40777.527693,11.147393,-11343.928571
London,E12000007,naive,Naive,3,27,46512.555556,56761.020150,16.577553,-17190.703704
London,E12000007,naive,Naive,5,25,75735.880000,84263.802383,26.298683,-27038.760000
London,E12000007,drift,Drift,1,29,17778.085422,25828.652643,6.722991,-5866.793913
London,E12000007,drift,Drift,2,28,33392.341169,43781.356935,12.479542,-12038.953415
London,E12000007,drift,Drift,3,27,51306.430601,62768.474322,18.975009,-18454.859633
London,E12000007,drift,Drift,5,25,88123.816370,98405.080560,31.335809,-29748.192438
London,E12000007,linear_trend,Linear trend,1,29,56709.021413,65232.812358,20.913222,-16632.996958
London,E12000007,linear_trend,Linear trend,2,28,68556.938418,77621.312668,25.105067,-21679.824635
London,E12000007,linear_trend,Linear trend,3,27,81031.240736,90660.586566,29.326823,-27258.928784
London,E12000007,linear_trend,Linear trend,5,25,104272.179236,116900.639500,36.316837,-38439.229871
London,E12000007,ses,Simple exponential smoothing,1,29,17047.000080,24816.228111,6.226779,-5598.379395
London,E12000007,ses,Simple exponential smoothing,2,28,31154.785876,40777.527842,11.147393,-11343.928652
London,E12000007,ses,Simple exponential smoothing,3,27,46512.555730,56761.020283,16.577553,-17190.703778
London,E12000007,ses,Simple exponential smoothing,5,25,75735.880131,84263.802471,26.298683,-27038.760047
