model,horizon_years,n_origins,first_origin_year,last_origin_year,mae,rmse,mape_pct,mean_error_bias
drift,1,29,1996,2024,68236.3,98010.0,5.03,-9186.7
linear_trend,1,29,1996,2024,259258.7,303461.6,19.16,932.6
naive,1,29,1996,2024,64900.1,94773.0,4.71,-9598.2
ses,1,29,1996,2024,65414.8,95417.1,4.75,-9682.7
drift,2,28,1996,2023,133089.2,187092.9,9.82,-20201.6
linear_trend,2,28,1996,2023,309472.3,357323.5,22.71,-10452.4
naive,2,28,1996,2023,125173.8,176066.9,9.03,-20974.5
ses,2,28,1996,2023,125606.6,176608.6,9.06,-21046.4
drift,3,27,1996,2022,197251.2,269958.4,14.71,-30450.1
linear_trend,3,27,1996,2022,362839.3,412747.8,26.41,-23251.0
naive,3,27,1996,2022,183588.0,247374.3,13.32,-31657.9
ses,3,27,1996,2022,184107.6,247833.0,13.36,-31705.4
drift,5,25,1996,2020,352354.9,427036.2,25.89,-43989.2
linear_trend,5,25,1996,2020,477814.8,524069.3,34.16,-53558.1
naive,5,25,1996,2020,306435.0,371022.5,22.1,-47199.5
ses,5,25,1996,2020,306809.1,371381.6,22.12,-47219.7
